gender,age
Male,NA
Male,49
Female,51
Female,NA
Male,59
Male,47
Female,57
Male,33
Male,88
Male,73
Male,53
Male,32
Male,59
Male,30
Male,76
Female,48
Male,73
Female,47
Male,80
Female,59
Female,63
Male,51
Male,71
Male,77
Female,32
Female,33
Female,30
Male,50
Female,39
Female,35
Female,57
Female,60
Female,61
Female,84
Male,68
Female,62
Male,54
Male,NA
Male,48
Female,32
Male,38
Female,76
Male,27
Female,76
Female,26
Female,44
Male,67
Female,46
Female,69
Female,41
Female,54
Female,61
Female,48
Female,58
Female,69
Male,72
Male,40
Female,24
Male,33
Female,50
NA,40
Male,63
Female,30
Female,59
Female,36
Female,83
Female,74
Male,44
Female,43
Female,51
Female,24
Male,68
Male,64
Male,37
Female,33
Female,36
Male,32
Male,37
Female,24
Male,27
Male,22
Female,53
Male,77
Female,23
Male,30
Female,36
Male,28
Female,45
Female,55
Female,80
Male,32
Female,45
NA,41
Female,42
Female,NA
Male,62
Male,28
Male,39
Female,41
Male,25
Male,39
Male,82
Female,19
Female,67
Male,33
Female,56
Male,24
Female,69
Female,55
Female,33
Male,22
Male,89
Male,40
Female,54
Female,57
Female,20
Female,49
Female,69
Female,62
Female,66
Female,61
Female,49
Male,71
Female,64
Male,57
Female,NA
Female,47
Male,32
Female,56
Male,23
Male,34
Male,46
Female,44
Female,38
Female,39
Male,69
Female,71
NA,NA
Male,34
Male,74
Female,57
Male,NA
Male,42
Male,52
Male,79
Female,40
Female,89
Male,61
Female,74
Male,64
Female,63
Male,38
Female,55
Female,NA
Male,75
Female,71
Male,66
Male,28
Male,NA
Female,23
Female,66
Female,41
Female,71
Female,34
Male,70
Female,82
Male,32
Female,42
Male,55
Female,82
Male,41
Female,63
Male,63
Female,61
Male,56
Male,67
Male,35
Male,64
Male,30
NA,NA
Female,39
Female,21
Female,63
Female,70
Female,56
Male,40
Female,34
Female,70
NA,NA
Male,69
Female,32
Female,59
Female,63
Female,73
Male,64
Female,57
Male,60
Male,75
Female,67
Male,73
Female,56
Female,24
Male,54
Female,56
Female,29
Female,61
Female,60
Male,34
Transgender,40
Female,32
Male,28
Female,69
Female,23
Male,52
Male,27
Female,70
Female,NA
Female,NA
Female,63
Female,70
Male,74
Female,61
Male,59
Female,38
Male,80
Male,26
Male,35
Male,32
Male,50
Female,37
Female,NA
Female,81
Female,68
Male,56
NA,NA
Male,24
Male,80
Male,42
Male,32
Female,31
Female,NA
Male,78
Female,58
Male,23
Female,65
NA,NA
Male,65
Male,72
Male,64
Female,23
Female,62
Female,59
Male,29
